step,avg_wins,avg_fruits,avg_wall_hits,avg_self_bites,avg_raw_reward,avg_discounted_return
0,0.0,0.087,97.475,0.0,-9.704000145249069,-0.7422783602131575
500,0.0,5.489,6.839,0.438,1.9729999885037541,0.6183020382115403
1000,0.0,17.526,11.272,2.47,7.141799975842238,0.9661431873199753
1500,0.0,19.877,10.533,2.813,8.322599975921214,1.020727276741924
2000,0.0,21.154,6.884,3.009,9.286799980774521,1.0264741717575325
2500,0.0,21.459,5.839,2.938,9.55799998254329,1.0423953509267727
3000,0.0,21.573,5.686,2.948,9.628299982741476,1.0339153479339875
3500,0.0,22.387,3.09,3.307,10.223099985539914,1.0422958848450339
4000,0.0,22.74,2.006,3.234,10.522599987372756,1.0329482240315702
4500,0.0,22.826,2.044,3.116,10.585399987667799,1.0659053011015356
5000,0.0,23.072,0.559,3.177,10.844699989698828,1.0425502116268675
5500,0.0,23.106,0.513,3.233,10.855099989600479,1.0546391007127218
6000,0.0,23.231,0.345,3.3,10.920999989651143,1.0746795247956769
6500,0.0,23.221,0.286,3.293,10.923299989759922,1.0766539388706975
7000,0.0,23.065,0.368,3.116,10.872499990165233,1.0524437986720736
7500,0.0,23.29,0.347,3.224,10.965499989874662,1.0609982853682798
8000,0.0,23.149,0.202,3.172,10.9198999902457,1.0580253710939476
8500,0.0,23.154,0.211,3.116,10.932699990399183,1.0377169449968573
9000,0.0,23.189,0.117,3.197,10.943399990297854,1.0700164288050664
9500,0.0,23.382,0.14,3.156,11.04579999038577,1.073620636347504
10000,0.0,23.252,0.128,3.068,10.999599990665912,1.0789078315309957
10500,0.0,23.368,0.098,3.18,11.03819999037683,1.0629093553021698
11000,0.0,23.266,0.066,3.118,11.002799990609288,1.050718115434291
11500,0.0,23.199,0.095,3.092,10.971599990643561,1.0464544169751122
12000,0.0,23.232,0.044,3.034,11.00479999089241,1.0649959004398082
12500,0.0,23.276,0.08,3.051,11.019799990788103,1.051483360870901
13000,0.0,23.338,0.021,3.018,11.063299990974366,1.0577017109655036
13500,0.0,23.37,0.055,3.009,11.077699990950524,1.053587307707274
14000,0.0,23.23,0.074,3.047,10.998199990808963,1.0502401150802751
14500,0.0,23.373,0.079,2.988,11.080999990977347,1.075577275986994
15000,0.0,23.286,0.027,3.005,11.03929999100417,1.0579808911396635
15500,0.0,23.523,0.068,3.004,11.153899990946055,1.0768380969034324
16000,0.0,23.438,0.026,3.035,11.109399990916252,1.0649264848627813
16500,0.0,23.223,0.209,2.873,11.015999991126359,1.0633221430338289
17000,0.0,23.458,0.056,2.943,11.13479999114573,1.0588465984424522
17500,0.0,23.17,0.223,2.886,10.985499991066753,1.0613004416484537
18000,0.0,23.521,0.102,2.963,11.15769999101758,1.0749190722851967
18500,0.0,23.439,0.091,2.988,11.112799990959466,1.073951960828625
19000,0.0,23.314,0.099,2.953,11.056499991051853,1.0605635552140564
19500,0.0,23.406,0.078,2.94,11.107199991121888,1.0632597568731061
